Description,Harvard-Oxford,AAL,Talairach,Atlas
Left Rostral Middle Frontal,Left Middle Frontal Gyrus,Frontal_Mid_L,Middle Frontal Gyrus,AAL
Left Superior Frontal,Left Superior Frontal Gyrus,Frontal_Sup_L,Superior Frontal Gyrus,AAL
Left Superior Parietal,Left Superior Parietal Lobule,Parietal_Sup_L,Superior Parietal Lobule,AAL
Left Superior Temporal,"Left Superior Temporal Gyrus, anterior division+Left Superior Temporal Gyrus, posterior division",Temporal_Sup_L,Superior Temporal Gyrus,AAL
Left Supramarginal,"Left Supramarginal Gyrus, anterior division+Left Supramarginal Gyrus, posterior division",SupraMarginal_L,Supramarginal Gyrus,AAL
Corpus Callosum Mid Posterior,,,Corpus Callosum,Talairach
Left Temporal Pole,Left Temporal Pole,Temporal_Pole_Mid_L,Brodmann area 38,Talairach
Left Thalamus,,Thalamus_L,Thalamus,AAL
Left Transverse Temporal,,,Brodmann area 41+Brodmann area 42,Talairach
Left Undetermined,,,,UNDETERMINED
Left Unknown,,,,UNDETERMINED
Left Ventral DC,,,,UNDETERMINED
Left Vessel,,,,UNDETERMINED
Left WM Hypo Intensities,,,,UNDETERMINED
Non WM Hypo Intensities,,,,UNDETERMINED
Optic Chiasm,,,Optic Tract,Talairach
Corpus Callosum Posterior,,,Corpus Callosum,Talairach
Right Accumbens Area,,,,UNDETERMINED
Right Amygdala,,Amygdala_R,Amygdala,AAL
Right Bankssts,,,,UNDETERMINED
Right Caudal Anterior Cingulate,"Right Cingulate Gyrus, anterior division",Cingulum_Ant_R,Anterior Cingulate,AAL
Right Caudal Middle Frontal,Right Middle Frontal Gyrus,Frontal_Mid_R,Middle Frontal,AAL
Right Caudate,,Caudate_R,Caudate,AAL
Right Cerebellum Cortex,,,Right Cerebellum,Talairach
Right Cerebellum WM,,,Right Cerebellum,Talairach
Right Cerebral Cortex,,,,UNDETERMINED
Right Cerebral WM,,,,UNDETERMINED
Csf,,,,UNDETERMINED
Right Choroid Plexus,,,,UNDETERMINED
Right Corpus Callosum,,,Corpus Callosum,Talairach
Right Cuneus,Right Cuneal Cortex,Cuneus_R,Cuneus,AAL
Right Entorhinal,,,Brodmann area 28,Talairach
Right Frontal Pole,Right Frontal Pole,,Brodmann area 10,Talairach
Right Fusiform,Right Occipital Fusiform Gyrus,Fusiform_R,Brodmann area 37,AAL
Right Hemisphere,,,,UNDETERMINED
Right Hemisphere WM,,,,UNDETERMINED
Right Hippocampus,,Hippocampus_R,Hippocampus,AAL
Right Inferior Lateral Ventricle,,,Lateral Ventricle,Talairach
Fifth Ventricle,,,,UNDETERMINED
Right Inferior Parietal,,Parietal_Inf_R,Inferior Parietal Lobule,AAL
Right Inferior Temporal,"Right Inferior Temporal Gyrus, temporooccipital part",Temporal_Inf_R,Inferior Temporal Gyrus,AAL
Right Interior,,,,UNDETERMINED
Right Isthmus Cingulate,"Right Cingulate Gyrus, anterior division+Right Cingulate Gyrus, posterior division",,Brodmann area 29,Talairach
Right Lateral Occipital,"Right Lateral Occipital Cortex, superior division+Right Lateral Occipital Cortex, inferior division",Occipital_Mid_R,Middle Occipital Gyrus,AAL
Right Lateral Orbitofrontal,Right Frontal Orbital Cortex,Frontal_Mid_Orb_R,Orbital Gyrus,AAL
Right Lateral Ventricle,,,Lateral Ventricle,Talairach
Right Lingual,Right Lingual Gyrus,Lingual_R,Lingual Gyrus,AAL
Right Medial Orbitofrontal,Right Frontal Orbital Cortex,Frontal_Med_Orb_R,Orbital Gyrus,AAL
Right Middle Temporal,"Right Middle Temporal Gyrus, anterior division+Right Middle Temporal Gyrus, posterior division+Right Middle Temporal Gyrus, temporooccipital part",Temporal_Mid_R,Middle Temporal Gyrus,AAL
Fourth Ventricle,,,Fourth Ventricle,Talairach
