TADPOLE,Harvard-Oxford,AAL,Talairach,Atlas
ST45CV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,"Left Inferior Frontal Gyrus, pars opercularis",Frontal_Inf_Oper_L,Brodmann area 44,AAL
ST46CV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,nan,Frontal_Inf_Orb_L,Brodmann area 47,AAL
ST47CV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,"Left Inferior Frontal Gyrus, pars triangularis",Frontal_Inf_Tri_L,Brodmann area 45,AAL
ST48CV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,nan,nan,nan,UNDETERMINED
ST49CV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,Left Postcentral Gyrus,Postcentral_L,Postcentral Gyrus,AAL
ST50CV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,"Left Cingulate Gyrus, posterior division",Cingulum_Post_L,Posterior Cingulate,AAL
ST51CV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,Left Precentral Gyrus,Precentral_L,Precentral Gyrus,AAL
ST52CV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,Left Precuneous Cortex,Precuneus_L,Precuneus,AAL
ST54CV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,"Left Cingulate Gyrus, anterior division",Cingulum_Ant_L,Anterior Cingulate,AAL
ST55CV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,Left Middle Frontal Gyrus,Frontal_Mid_L,Middle Frontal Gyrus,AAL
ST56CV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,Left Superior Frontal Gyrus,Frontal_Sup_L,Superior Frontal Gyrus,AAL
ST57CV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,Left Superior Parietal Lobule,Parietal_Sup_L,Superior Parietal Lobule,AAL
